Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
5.6e-09,1.47581e-07,1.47215e-07,1.48222e-07,1.47215e-07,5.60000171557e-09,-1e+300,1.5157643189600002e-23,2.87637827382e-25,(1.78735660719e-11 7.73000495457e-28 -4.52299801448e-13),5.60000171557e-09,0.0,0.0,-7.817172011e-08,2.20483704591e-11,1.17986892531e-27,0.0,1.75822283393e-11,7.61018281306e-25,1.72615099158e-11
5.7e-09,1.4741e-07,1.47045e-07,1.48048e-07,1.47045e-07,5.70000181004e-09,-1e+300,1.5150263932e-23,2.88358862176e-25,(1.79265990038e-11 5.98479990194e-28 -4.49478075822e-13),5.70000181004e-09,0.0,0.0,-7.93402201998e-08,2.20811257817e-11,5.20759959824e-28,0.0,1.75824348966e-11,7.922847739000001e-25,1.72451983461e-11
5.8e-09,1.47235e-07,1.4687e-07,1.47874e-07,1.4687e-07,5.79999587809e-09,-1e+300,1.5104181283500002e-23,2.88542825443e-25,(1.79290097734e-11 2.13957983171e-28 -4.46829925178e-13),5.79999587809e-09,0.0,0.0,-7.99787629643e-08,2.20585510163e-11,-2.44578959488e-28,0.0,1.75830678165e-11,8.11948390212e-25,1.72298525733e-11
5.9e-09,1.47063e-07,1.46698e-07,1.47702e-07,1.46698e-07,5.90000495493e-09,-1e+300,1.50927717429e-23,2.89321185829e-25,(1.79659883228e-11 -2.66396885094e-28 -4.42586124586e-13),5.90000495493e-09,0.0,0.0,-8.07316948972e-08,2.20778185416e-11,-1.13169186054e-27,0.0,1.75838166954e-11,8.1800970836899985e-25,1.72151122404e-11
6e-09,1.46892e-07,1.46527e-07,1.4753e-07,1.46527e-07,6.00000336072e-09,-1e+300,1.5059959853800002e-23,2.89630584849e-25,(1.79818617305e-11 -7.42926393083e-28 -4.41438476861e-13),6.00000336072e-09,0.0,0.0,-8.15187830781e-08,2.20711358757e-11,-2.03520221661e-27,0.0,1.75848047276e-11,8.09345994146e-25,1.72002173351e-11
6.1e-09,1.4672e-07,1.46354e-07,1.47359e-07,1.46354e-07,6.09999762699e-09,-1e+300,1.5033409549100002e-23,2.90103138983e-25,(1.80006006828e-11 -1.12404940395e-27 -4.36593028921e-13),6.09999762699e-09,0.0,0.0,-8.2392765674e-08,2.20670564889e-11,-2.45633487132e-27,0.0,1.75860256018e-11,7.86392022209e-25,1.71868174457e-11
6.20001e-09,1.46552e-07,1.46187e-07,1.4719e-07,1.46187e-07,6.20000500513e-09,-1e+300,1.5014336179999998e-23,2.90607197441e-25,(1.80303162149e-11 -1.15985111265e-27 -4.34830774486e-13),6.20000500513e-09,0.0,0.0,-8.324448103e-08,2.20775435686e-11,-2.45573178753e-27,0.0,1.75873432985e-11,7.515347080159998e-25,1.71724526018e-11
6.30001e-09,1.4638e-07,1.46014e-07,1.4702e-07,1.46014e-07,6.30000459529e-09,-1e+300,1.49715009588e-23,2.90776592551e-25,(1.80288143364e-11 -1.1421975797e-27 -4.307964804e-13),6.30000459529e-09,0.0,0.0,-8.40409269776e-08,2.20504216048e-11,-2.23425867137e-27,0.0,1.75890237263e-11,7.07831460223e-25,1.7160023838e-11
6.4e-09,1.46214e-07,1.45849e-07,1.46852e-07,1.45849e-07,6.40000127933e-09,-1e+300,1.49649670701e-23,2.91414884071e-25,(1.80735779571e-11 -4.81343911085e-28 -4.27975550535e-13),6.40000127933e-09,0.0,0.0,-8.51682801303e-08,2.20765456087e-11,-1.37589869493e-27,0.0,1.75906131972e-11,6.58081660514e-25,1.71464444738e-11
6.50001e-09,1.46045e-07,1.4568e-07,1.46684e-07,1.4568e-07,6.50000481977e-09,-1e+300,1.4921286100200002e-23,2.91577634437e-25,(1.80722623114e-11 1.71031151254e-28 -4.25969185985e-13),6.50000481977e-09,0.0,0.0,-8.57072270811e-08,2.20537629632e-11,-4.26614469376e-28,0.0,1.75926412637e-11,6.04766158569e-25,1.71342316183e-11
6.60001e-09,1.45879e-07,1.45513e-07,1.46518e-07,1.45513e-07,6.60000478457e-09,-1e+300,1.49109775905e-23,2.92283644308e-25,(1.8108699769e-11 4.62337874044e-28 -4.22026258981e-13),6.60000478457e-09,0.0,0.0,-8.65751296868e-08,2.20732758552e-11,9.72756945865e-29,0.0,1.75946487895e-11,5.49919437738e-25,1.71221543092e-11
6.70001e-09,1.45713e-07,1.45349e-07,1.46351e-07,1.45349e-07,6.70000594037e-09,-1e+300,1.4883644149600002e-23,2.92647337146e-25,(1.81231398488e-11 6.43089626594e-28 -4.21302470034e-13),6.70000594037e-09,0.0,0.0,-8.7245447428e-08,2.20697525939e-11,4.5190709224200005e-28,0.0,1.75968605004e-11,4.95147314537e-25,1.71099248198e-11
6.8e-09,1.45546e-07,1.4518e-07,1.46186e-07,1.4518e-07,6.79999580302e-09,-1e+300,1.48534597283e-23,2.92949544767e-25,(1.81370691089e-11 6.16298295951e-28 -4.16732898421e-13),6.79999580302e-09,0.0,0.0,-8.82142873067e-08,2.20604585748e-11,3.8293784753e-28,0.0,1.75992832756e-11,4.41891110184e-25,1.70992358988e-11
